series,arima,ets,lb_p_arima,lb_p_ets,rmse_arima,rmse_ets,mape_arima,mape_ets,winner
Angular,Series: x ,"ETS(A,N,N) ",0.7348919090978947,0.539630562480592,10.814806272763732,10.469123858057689,Inf,Inf,ETS
React,Series: x ,"ETS(A,N,N) ",0.9204168368423843,0.09415553877269955,3480861.9606017694,15.574384007876285,Inf,Inf,ETS
Vue,Series: x ,"ETS(A,N,N) ",0.21540413618363163,0.24939650063732932,3.574130180978069,4.342059771136953,Inf,Inf,ARIMA
